MissingRate,Repeat,Seed,Mean,Median,ClinDiff-Lite,ClinDiff-Gated,Mean Liver Avg,ClinDiff-Lite Liver Avg,ClinDiff-Gated Liver Avg,Grouped Usage Rate,Masked Observed Cells,Masked Headline Cells,Masked Liver Cells
40%,81,2506,194.9119717410477,207.82255402711166,193.6809479974129,191.3330927029536,190.3495277829667,184.1141184042214,182.20993721026136,0.48615253515125695,4809,3963,2275
40%,82,2507,200.31847171900515,215.5233460598425,195.45044983957376,196.61005615465348,198.15732957150954,187.55023528121203,188.49204073044498,0.5117170856412442,4816,3944,2190
40%,83,2508,183.9323295954155,197.71113179105026,189.35728164468296,189.45714873800137,188.89652470172325,187.9953195803885,188.05569365212898,0.469961653174265,5010,4141,2368
40%,84,2509,147.0930078804953,157.7059818188512,145.62822323960438,140.7097537313809,152.82719195832996,147.10357889633045,143.1849338658837,0.4870046868342565,4903,4006,2291
40%,85,2510,181.65700950252943,200.1960812604522,180.33887921618143,178.07035693568744,179.61021399239473,173.8313607196935,171.90425774488926,0.4874307626757563,4884,4041,2297
40%,86,2511,163.9645519318621,178.64934011194453,162.7552402914113,163.4059575786921,166.71206175088983,160.49347607786277,161.03855953173397,0.48487430762675754,4901,4081,2362
40%,87,2512,171.93553453058323,186.62317962205535,170.54584501156884,168.881058029482,174.2153871883439,168.60016353534954,167.3705398526508,0.4951001278227524,4845,3985,2281
40%,88,2513,184.36385399381018,203.11596267624972,182.34169574312432,181.3065053071083,192.04332423318706,184.78928246573642,183.83475534369038,0.48870899020025566,4848,3967,2255
40%,89,2514,187.63913038081276,201.06824890855376,186.27608442041196,183.30459511135194,195.4511604894633,190.15494229586685,187.61385924398496,0.48657861099275673,4877,4010,2313
40%,90,2515,184.7534844584631,200.13917023802685,182.93174812165643,179.88038096405216,187.4374254252939,180.05295980985375,177.49103666053597,0.4755006391137622,4866,3999,2333
40%,91,2516,200.7911551144324,218.045655424029,205.98375426180218,205.9083033003246,199.30966117181285,197.40584761438856,197.22791415735898,0.4870046868342565,4906,4039,2339
40%,92,2517,188.2476985306389,201.39382390705364,187.10205346359982,183.40425943073967,184.03417292394397,178.02371778974134,174.7348979176913,0.489987217724755,4843,3972,2242
40%,93,2518,170.19762305678498,187.7497916529272,168.38422893191725,166.56685116330368,176.24486809543973,169.84377252548907,168.4898551892093,0.49467405198125264,4787,3916,2243
40%,94,2519,197.68615568278912,212.92642794756563,196.3747845320642,193.0620031904958,193.17341426282488,186.1018507276435,183.65274145385752,0.49808265871325097,4841,3956,2264
